like,for,com,sum,date,content
96,3,71,170,2020-04-09,#喜茶西安新店#  长安有新喜，来饮杯茶吧。高级灰与莫兰迪色系，舒适色块打造松弛视感。【西安李家村苏宁GO店】，今日正式开业。4/10-4/14，喜茶GO微信小程序任意消费，可获赠5元代金券一张（每人每天限领1张）~  地址：碑林区解放路186号W6694号商铺
5014,42,704,5760,2020-04-09,#喜茶GO#   支付宝也可以点喜茶啦！扫码或在支付宝搜索“喜茶”，即可进入喜茶GO小程序。今天的灵感，有一点点蓝💙
12543,62,1595,14200,2020-04-08,薅羊毛时间又到了！🧧4月6日-5月5日，使用银联云闪付二维码到店支付，可享满30-10元，约等于单杯7折！每人每日可享1次优惠，每日限额3300名（喜茶GO店不参与）。📝大家可在云闪付APP搜索「喜茶」查看剩余名额，借记卡和信用卡都参与喔~
180,10,126,316,2020-04-08,#喜茶杭州新店#  大面积使用肌理漆打造质感，透明砖墙与原石自然质感相互衬托。【杭州大悦城店】现已开业。4/6-4/10，喜茶GO微信小程序任意消费，可获赠5元代金券一张（每人每天限领1张）。 📍地址：莫干山路与隐秀路交汇处大悦城购物中心【L1-34】号商铺
190,5,111,306,2020-04-08,#喜茶东莞新店#  东莞再添一喜。转角处全景落地窗，饮茶最佳景致就在这里~【东莞长安万科店】现已开业。4/5-4/9，喜茶GO微信小程序任意消费，可获赠5元代金券一张（每人每天限领1张）。 📍地址：长安镇长安长青南路1号7栋一层1045室1室
143,13,76,232,2020-04-08,#喜茶上海新店#  新空间，新体验。来新店饮杯豆豆茶吧~ 【上海宝杨宝龙茶空间店】现已开业。4/5-4/9，喜茶GO微信小程序任意消费，可获赠5元代金券一张（每人每天限领1张）。 📍地址：同济路669弄4号第1层
467,94,126,687,2020-04-07,#在家做喜茶#  👩🏻🍳今晚要送我们 #黑糖波波双皮奶#  出道！只要一只锅就可拥有，比 #黑糖啵啵舒芙蕾#  更简单~各位巧巧手请码好！ 📝两只鸡蛋分离出蛋清搅打至无明显块状拉丝，倒入258ml纯牛奶中，再加入白砂糖搅拌均匀，包上保鲜膜扎小孔，水开后隔水蒸15分钟后取出，铺上满满黑糖波波！完成啦...
192,2,137,331,2020-04-07,#灵感体验官#  我们在意你投递的每一份灵感✨ 灵感信箱在持续收件中，本月初公布被采纳的体验官们应该都收到茶茶的礼物了吧~只要向茶茶投递你的灵感，即有机会获得图中的福利喔！扫图中的码，马上开始投递吧
432,5,240,677,2020-04-07,叮！茶茶的 #灵感月报#  回归啦~ 每月新品新店活动一图尽览，再也不错过一条重要消息！2020年3月份月报请查收  评论里说说四月你最期待茶茶什么活动or新品呢？
216,7,84,307,2020-04-07,#黑糖波波酸奶#  点亮希腊式酸奶的关键：谷物包🍓 酸奶本身不含糖分，极致健康，搭配黑糖燕麦片和草莓颗粒的谷物包，倒进酸奶里搅匀，谷物脆香与草莓酸甜瞬间点亮灵感💡喜茶牌希腊式酸奶现正有售，打开 #喜茶GO#  找找离你最近的酸奶吧~
271,18,101,390,2020-04-06,#喜茶设计#   他，轻奏着Debussy的旋律；她，缓缓步进灵感咖啡厅。窈窕倩影萦绕着曼妙云呢拿香，一场迷离的暧昧在灯明灯暗中上演。以 #喜茶咖啡# 作为索引，在王家卫式镜头语言下，一辑辑胶片质感影画及大量的留白，营造了一个氤氲朦胧的场景。男女主角的故事在咖啡香中展开，无声胜有声。
1170,210,323,1703,2020-04-06,⛳️ 茶茶也上岛啦！ #动物森友会#  灵感之茶小岛建成~小小喜茶门店开业咯！喜茶美术馆里陈列多肉葡萄、芝芝金凤茶王和豆豆波波茶，路过的朋友进来喝一杯鸭 🙋🏻♀️有动森选手吗？快来评论晒晒你的岛~
113,0,0,113,2020-04-05,#喜茶百货公司#  “今日你食咗未？” 这是来自广州人的日常关怀。🍵一齐嚟“饮啖茶，食个包”，在广州，叹世界。喜茶广州天环LAB限定「饮啖茶，食个包」主题周边，现已正式登陆广州天环LAB店，老广必得。🙌🏻欢迎前往门店或在喜茶GO先行选购，支持线上下单门店自提喔~  #喜茶设计#
1064,15,240,1319,2020-04-05,#喜茶设计#  上周喜茶武汉门店逐渐开始复业，大家的多肉葡萄奶茶波波冰又回来了👩🏻🎨本期献上4款 #喜爱武汉#  灵感杯套大家随意发挥，尤其是武汉的朋友欢迎多多参与喔！熟悉的黄鹤楼、樱花、热干面，希望可以在大家笔下重回鲜活~ 🙆🏻♀️评论区po出你的作品，24小时后点赞前三位送喜茶...
253,24,39,316,2020-04-04,人民日报  的微博: #清明祭#  【今天发条微博，为那些没能来得及的告别】今日，全国哀悼。此刻，一起缅怀，为逝去的同胞！ #哀悼抗击新冠疫情牺牲烈士和逝世同胞#
594,1996,658,3248,2020-04-03,#灵感魔都#  这套全新周边带你梦回上海1920！极致复古风趣，灵感小男巫再次登场，带来充满魔法的灵感小物~ 喜茶第二款AirpodsCase出生，各位朋友速速配置，本期还带来超好玩立体冰箱贴，靓丽可爱！现已上架 #喜茶百货公司#  ，现在立刻挑选，早买早收货。🧙🏻♂️转发，抽5位送全套灵感魔都冰箱贴+...
1168,2993,1175,5336,2020-04-03,#喜茶咖啡#  上新日有喜事，今日【喜茶咖啡全系列买一送一】，想要尝新切莫错过，数量有限送完即止。☕全新 #雪山咖啡#  ，颠覆传统咖啡饮用体验，一口一口根本停不下来！ 转发，揪10位大咖平分10杯~   抽奖详情
444,72,155,671,2020-04-03,#喜茶咖啡#  灵感咖啡厅今日有新咖：奶油与咖啡的绝美组合，一杯咖啡就是一道甜点！🧁「雪山香草拿铁」，香草味云朵奶油洒上碧根果碎，与顺滑香草拿铁入口生香；「雪山摩卡」」特调可可奶底浓醇丝滑，鲜奶油与可可粉生成多巴胺。☕两款新咖现已上线喜茶大陆门店。 #雪山咖啡#
408,15,166,589,2020-04-02,#喜茶咖啡#  全新剧集，相约明日黄金档。
239,18,190,447,2020-04-02,#喜茶东莞新店#  虎门有新喜，来饮杯多肉葡萄呀？【东莞虎门万达店】现已开业。4/1-4/5，喜茶GO微信小程序任意消费，可获赠5元代金券一张（每人每天限领1张）。📍地址：东莞市虎门镇万达广场一楼1F层1056号商铺
4181,1792,677,6650,2020-04-01,#愚你有喜#   赶在愚人节的尾巴来了~愚人节特别版阿喜有礼卡限时上架！【午夜惊喜】、【秃发事件】、【愚你有喜】、【HAPPY FOOL'S DAY】四款卡面，你喜欢“贞子阿喜”还是“秃然的阿喜”？扫1扫进入喜茶GO即可选购~ 🎁关+转，揪3位送100元阿喜有礼卡！ #阿喜有礼#    抽奖详情
195,18,79,292,2020-04-01,#武汉的多肉葡萄醒了#  新的4月新的喜事：武汉销品茂店、武汉天地热麦店、武汉永旺梦乐城店今日已恢复营业~营业时间见图，复业首周喜茶GO外卖&美团外卖免配送费❤
359,10,120,489,2020-04-01,#愚你有喜#  愚人节的惊喜，茶茶送给你。听说这两天在上海静安嘉里中心店、深圳卓越中心店、成都IFS黑金店和长沙悦方ID MALL店，诞生了许多「愚人节锦鲤」？Surprise！别不相信，天上真的会掉喜茶噢~  #送喜上门#
1095,4503,1684,7282,2020-04-01,#愚人节#  喜茶愚人节盲盒限时上线，仅限今日抽取！🎁转发这条微博，下午5点将抽取10位朋友随机获得【啥也不是波波冰】、【芝芝空气】、【满杯快乐】、【多肉喜欢有你】4款愚人节盲盒茶饮中的一款，茶饮将以神秘赠饮券形式发放，想知道盲盒分别对应什么茶饮吗？就不告诉你🤪  #愚你有喜# ...
442,31,164,637,2020-03-31,#黑糖波波酸奶#  还没试过黑糖波波酸奶吗？喜茶现正有售！选用热量更低的脆波波，一点黑糖香甜跃然舌尖，希腊式酸奶本身不含糖分，健康轻食首选~  还有黑糖燕麦和冻干水果，搅匀再吃口味更佳   今日下午茶不如就选它吧！打开 #喜茶GO#  ，马上Get!
321,18,162,501,2020-03-31,#喜茶上海新店#  上海喜提新店！工作日来杯多肉葡萄续航，灵感自然来~ 【上海长风大悦城GO店】已开业。3/31-4/4，喜茶GO微信小程序任意消费可获取5元代金券1张（每人每天限领1张）。📍地址：长风大悦城中心内大渡河路196号1层
389,20,210,619,2020-03-29,#喜茶绍兴新店#  绍兴的小可爱们！喜茶新店来啦🥳 【绍兴柯桥万达店】今日开业，新店 #喜茶GO#  就可以直接点单！3/29-4/2，喜茶GO任意消费可获取5元代金券1张（每人每天限领1张）。📍地址：柯桥钱陶路799号绍兴柯桥万达广场1F层 1100-A，1100-B，1101A号商铺
526,879,610,2015,2020-03-28,#绿色喜茶#   今天20:30-21:30  ，喜茶部分门店将关闭不影响门店正常营运的光源来支持 #地球一小时#  的倡议。关灯门店仍正常营业。茶茶也提议今天在家的朋友，断开身边不必要的电源，让地球休息一小时~💡转发并分享你的低碳生活行为，抽3位送茶！   抽奖详情
365,35,117,517,2020-03-28,#喜爱武汉#   63天，1512个小时，于严冬中蛰伏已久，武汉汉街LAB店&K11 Select店现已正式恢复营业！ #武汉的多肉葡萄醒了#  ❤出于安全考虑，目前仅接受外卖单哦，3/31-4/6，两店喜茶GO外卖和美团外卖免配送费！好久不见，你最想念哪杯喜茶呢？
778,25,303,1106,2020-03-27,#喜茶汕头首店#  今日是汕头有喜的第一天🙌🏻听说热情的汕头朋友把两家店都喝爆单啦！两家门店皆打造了较为开放自由的饮茶空间，大家快乐吸茶的同时别忘了感受独特的 #喜茶设计#   噢🥳 非常感谢胶己人的照顾，以后的日子大家互相陪伴啦~
3854,14437,5409,23700,2020-03-27,#奶茶自由#  你一次能喝多少杯奶茶？不管能喝多少，都没有茶茶这一次送的多！茶茶今天要和 @WonderLab  一起带大家实现奶茶自由！🎈这条微博每转发1000次，就送出一盒喜茶xWonderLab联名小胖瓶（6瓶）！24小时后准时开奖，健康灵感不封顶！ #WonderLab小胖瓶#    抽奖详情
331,27,78,436,2020-03-27,#喜茶设计#  叮！壁纸换新时间到~ 本期壁纸融入喜茶线条灵感与中国风元素，打造喜茶新式中国风，风从东方起，灵感入画来。 #中国风格，喜茶设计#   照例评论里收“买家秀”啦
861,286,364,1511,2020-03-27,#奶茶自由#  奶茶一杯喝到饱？机会来了！🙌🏻喜茶 x  #WonderLab小胖瓶#  联名代餐奶昔，融入喜茶人气茶饮味觉体验，健康灵感出击。芝芝莓莓、黑糖波波、暖暖奶茶口味奶昔，外加联名定制贴纸和惊喜刮刮卡，全套收入【无尽灵感】盒子！👀茶茶和 @WonderLab  给你奶茶自由！
437,54,236,727,2020-03-26,#喜茶汕头首店#  久等了！汕头小伙伴来呷茶啦~明日（3/27）汕头双喜临门：【汕头星湖城店】&【汕头大悦海纳天地店】齐齐开业！🥰3/27-3/31，新店喜茶GO任意消费可获取5元代金券1张（每人每天限领1张）。📍门店地址戳图，明日就可直接 #喜茶GO#  下单点茶啦！
154,5,61,220,2020-03-26,#保持距离工作不停#  疫情还没完全结束，我们仍未松懈。喜茶积极响应 @世界卫生组织  号召，施行三大措施，保护茶茶们远离2019冠状病毒病。为复工筑起健康，喜茶在行动
256,4,162,422,2020-03-25,#灵感体验官#  茶茶Q&A第四期如约而至。本期精选了4个问题给出茶茶的答案，希望有帮到提问的朋友哟~  灵感体验官入口持续开放，戳评论即可进入，完全开放平台，大家随心所欲鸭！
299,6,91,396,2020-03-24,近日，深圳欢乐海岸LAB店喜迎深圳市南山区区长前来打卡~随着生活慢慢踏上正轨，深圳喜茶门店目前几乎全数复业，在确保门店防疫工作严格执行的情况下，为大家提供一杯安心喜茶。也希望大家都能平平安安复工，安安心心喝茶
206,5,49,260,2020-03-24,#茶茶与你#  春暖花开的时节，我们终于等到了你们归来，诚挚地对深圳援鄂医疗队的抗疫英雄们，说一声“辛苦了！”  你们想念的深圳味道，茶茶立马安排上，用“满杯欢喜”迎接你们回家~
481,22,260,763,2020-03-23,#喜茶佛山新店#  好久不见，今日有新喜落佛山~ 【佛山创意产业园店】今日正式开业！3/23-3/27，喜茶GO任意消费可得5元代金券1张。📍地址：佛山创意产业园-佛山市禅城区季华四路 33 号 1 栋
649,84,364,1097,2020-03-23,#喜茶食验室#  黑糖波波酸奶，你试过吗？🥛全新喜茶牌希腊式酸奶，黑糖味脆波波与希腊式酸奶的新奇碰撞，万物皆可波波！拥有高于普通酸奶2倍的蛋白质，脂肪含量是普通酸奶的1/4不到，还有蓝莓口味可选，搭配冻干水果燕麦谷物，口感棒棒~🛒 #喜茶GO#  半价尝鲜，仅限今日🙆🏻♀️
4612,67,816,5495,2020-03-22,#喜茶设计#  之前举办的 #画喜茶大赛#  大家玩的很开心，新一期来啦！🌉以下8款喜茶设计经典线条插画风格杯杯，请大家选择自己所在/喜爱的城市随意填涂 📝在评论区晒出你的填色作品，24小时后，点赞排名前三位将获得随机喜茶城市系列周边~
16636,394,1255,18285,2020-03-22,茶茶也真没想到，竟然因一个抽奖而上了热搜。恭喜这位可爱的中奖用户 @等一杯茶颜悦色 ，你的奖品茶茶会快马加鞭安排，请留意查收哦，也祝你真的能「等到一杯茶颜悦色」。 最后茶茶也有几句话想说，现在流行「奶茶自由」这个词，其实消费者选择自己想喝的品牌也是一种「奶茶自由」。喜茶是一个服务于所有...
103890,12697,5192,121779,2020-03-22,喜茶  的微博: #在家做喜茶#  万物皆可波波！必学美味，一看就会。茶茶独门 #爆浆奶茶波波吐司#  ，麦香与奶茶香十足，黑糖波波软糯香甜，一定要点进来感受一下爆浆🧀 来get茶茶本期同款装备，一起 #搞点蛋糕778#  ~ 🎁转发，揪一位送茶茶同款美的三明治机！  喜茶的微博视频    抽奖详情
2733,4430,2297,9460,2020-03-21,#在家做喜茶#   你不得不收看的一期！这么大又铺满波波的蛋挞你见过吗？ #巨型波波蛋挞#  教程来了！！🙆🏻♀️ 转发这个香喷喷的视频，揪1位送茶茶同款空气炸锅，再揪1位送东芝烤箱~设备给大家安排上！一起来 #搞点蛋糕778#  🍰  微博视频    抽奖详情
816,539,2230,3585,2020-03-20,#茶茶与你#  还有10天三月就要结束了，大家都复工了吧？前阵子在家也是让朋友们憋出了好多技能，煮茶烘焙样样行！📝评论里说说「家里蹲GET的新技能」，揪3位送芝芝茗茶~   抽奖详情
354,44,152,550,2020-03-20,全新 #喜茶x酷革灵感随行杯#  ，现已上线部分喜茶门店（列表戳图），取茶时可在门店选购~ 🧊喜茶与 @CORKCICLE酷革官方微博  首次联名推出经典系列灵感随行杯，高端材料和细节工艺造就更舒适的饮茶体验，保温杯瓶身造型拿下德国红点设计大奖。🛒在 #喜茶百货公司#  也可以get，现在还享免运费喔！
302,25,108,435,2020-03-20,健康饮茶，我们更推荐 #0糖低卡糖#  ，热量接近于0卡，是追求低热量吸茶的最佳搭配！由低卡甜菊糖升级为更健康的0糖低卡糖，首次从草本植物甜叶菊中提取，口感良好，更天然。现在 #喜茶GO#  点单，各类茶饮都可以选择0糖低卡糖啦~
618,2535,756,3909,2020-03-20,可爱多  的微博: 🍑集美们吸桃时间到！女孩们脸颊晕开涟漪，那份嘴上不说内心却抑制不住的迷恋，都藏在可爱多携手 @喜茶  带来的 #芝芝桃桃冻着吃# 的新惊喜里。清新芬芳的桃桃雪泥搭配饱满诱人的大颗粒桃肉，覆盖奶香微咸的醇厚芝士奶盖冰淇淋，这份桃气诱惑哪个少女能够抵挡？ 快戳链接 http://t.cn/RnMndPE ...
419,29,113,561,2020-03-20,#茶茶日历#  春茶洗旱尘，昼与夜均等。今日 #春分#  ，宜饮一杯「春不夜」🍃
2861,14198,769,17828,2020-03-19,#在家做喜茶#  万物皆可波波！必学美味，一看就会。茶茶独门 #爆浆奶茶波波吐司#  ，麦香与奶茶香十足，黑糖波波软糯香甜，一定要点进来感受一下爆浆🧀 来get茶茶本期同款装备，一起 #搞点蛋糕778#  ~ 🎁转发，揪一位送茶茶同款美的三明治机！  喜茶的微博视频    抽奖详情
205,10,63,278,2020-03-19,🙆🏻♀️茶茶新开发的美味动手栏目 #在家做喜茶#  ，各位有每期收看嘛？正值盛春，需要一些甜甜的小美好！茶茶与 @天猫  联合制造  #搞点蛋糕778#  ，即将献上全新美味教程！现在打开手机淘宝搜索 #天猫正当红#  ，抢先get茶茶同款做喜茶神器~
1182,237,457,1876,2020-03-19,可爱无限大！ @可爱多 #芝芝桃桃冻着吃# #黑糖波波奶茶雪糕#
863,2553,1288,4704,2020-03-18,#喜茶x酷革灵感随行杯#  喜茶与 @CORKCICLE酷革官方微博  首次联名，推出经典系列灵感随行杯。探索人体工学与饮茶体验之间的联系，高端材料与工艺细节打造高级质感。新中式简约视觉，适用于任何场合，keep住理想饮用温度。现已上线 #喜茶百货公司#  ，扫码可进入选购。🎁关+转，抽5位分别送任意一款。...
347,39,133,519,2020-03-18,#喜茶GO#  一键点单茶饮+轻食，从此省去搭配烦恼✔︎ 喜茶【一人喜套餐】已在北京、上海、广东地区门店上线。精选人气组合：能量满满早餐系、新鲜活力果茶系、香甜软糯波波系，三个系列总有一款是你的取向狙击🧀来和茶茶分享你最爱的喜茶食验室搭配吧~
474,58,900,1432,2020-03-16,#茶茶与你#  晚上好✨ 今日波波崽当值~ 最近有没有打卡波波家族呢？黑糖波波、芋圆波波、脆波波，颗颗诱人！来了就要带点礼物：评论区晒出宅家一个月的喜茶消费记录，明晚来揪3位送波波家族任意茶饮🍵   抽奖详情
439,484,263,1186,2020-03-16,喜茶  的微博: #多肉葡萄日#  喜报！属于多肉葡萄粉的大日子来了！🍇从现在开始24小时内，这条微博每转发240次，就抽一杯【多肉葡萄】！24小时后准时开奖，具体送出多少杯由葡萄粉的热情决定，我们上不封顶~ ！   抽奖详情
14117,69874,18402,102393,2020-03-15,#多肉葡萄日#  喜报！属于多肉葡萄粉的大日子来了！🍇从现在开始24小时内，这条微博每转发240次，就抽一杯【多肉葡萄】！24小时后准时开奖，具体送出多少杯由葡萄粉的热情决定，我们上不封顶~ ！   抽奖详情
589,798,534,1921,2020-03-14,#不要芋泥要波波#  喜茶 #白色情人节#  特别惊喜来啦！你们要的“啵啵”限时返场！🎁今日，在喜茶GO点购【芋泥波波鲜奶】，即可免费获得一份芋圆波波（自取/外卖均参与，每单仅限一份）。快来接收来自波波小姐的甜蜜“啵啵”吧！😘关+转，揪10位送“啵啵”~
468,56,888,1412,2020-03-13,#茶茶与你#  Hi大家晚上好🌙 Miss多肉葡萄来和朋友们夜聊了。这几个月大家很少见面，外卖单也突然多起来了，真怀念以前聚在一起吸葡萄的日子呀。今日问题：这场疫情改变了你什么？🍇评论区揪3位走心答案送【多肉葡萄】~   抽奖详情
371,21,328,720,2020-03-13,#喜茶GO#  播报一则好消息：星球会员的生日赠饮可以优先制作啦！为寿星开通喝喜茶绿色通道，生日就要喜上加喜~  🎂顺便问一问，有没有3月过生日的小伙伴呀？
111,11,26,148,2020-03-13,美团外卖  的微博: #一句话拒绝野味# 拒绝舌尖上的野味，将革除滥食野生动物陋习进行到底！目前，已经有上万家青山公益商家响应号召，共同敦促餐饮行业，告别非法野味交易。（感谢IFAW @国际爱护动物基金会  提供公益支持）
197,9,88,294,2020-03-13,#灵感体验官#  别划走！快来看看最近是不是出现了以下症状~如果有，就动动手指开始投递你的灵感与建议，茶茶不会错过任何你投递的信息，只要投递就有机会被采纳，同时获得茶茶心意礼物喔❤
166,4,118,288,2020-03-13,#喜茶百货公司#  限时7折！喜茶中国制造城市周边限时活动，倒计时最后3天！3月16日前，前往【喜茶百货公司】购指定城市周边即享活动专区内全单7折。从城市的风土气质中汲取灵感，将喜茶与每座独一无二的城市相联系，喜茶与城市，茶茶与你，在一起。 扫图码即可直接进入活动专区选购哦～
308,19,149,476,2020-03-12,#喜爱武汉#  🖱由喜茶发起，邀请各界品牌设计师，以喜爱武汉为主题，在一张纸的篇幅内用设计语言撰写爱与希望。 #中国风格，喜茶设计#  以下作品分别来自： @ShenzhenLOOK   @超级植物公司   @BuddyBlue应霁的蓝朋友   @能猫商店nengmaostore   @幺九创意-Vincent   @红小豆本豆   @果粒陳同学   @上海圈子    你偏爱哪...
267,265,356,888,2020-03-12,#茶茶研究所#  最近大家对动物的关注和动物保护的呼声越来越高。这次，茶茶和 @红树林基金会MCF  联合出品，带来一期关于野生动物的轻松小科普~ 请大家和茶茶一起爱惜自己的宠物，不要虐待和随意抛弃；对生命负责，与大自然和谐相处。 #绿色喜茶#   🎁转发并告诉茶茶你希望喜茶出什么动物主题的周边，揪3...
879,329,2002,3210,2020-03-12,听说大家疯狂想吃喜茶x @盒马  的 #奶茶青团#  ？喜茶特制馅料当然诱人！阿华田波波馅和芝士豆乳馅，灵感源自阿华田波波冰和豆豆波波茶，每一口都能让你梦回HEYTEA！你还想吃什么口味的青团呢？评论里揪10位送可可爱爱的联名杯垫    抽奖详情
246,38,423,707,2020-03-12,#绿色喜茶#  今日是 #植树节#  ，喜茶与蚂蚁森林联合推出喜茶公益林。喜茶支付宝小程序也和大家见面啦，和茶茶一起云种树吧！支付宝搜索“蚂蚁森林公益林”，查找“喜茶公益林”。你的每一次浇水，都会让喜茶公益林更加茁壮，让地球多一片绿。🌳评论里晒出你浇水截图，抽3位送喜茶~...
164,5,134,303,2020-03-11,#茶茶与你#  朋友们，茶茶来信环节即将暖心启动。在这个环节将有3位值班助手会与大家互动，成功捕捉他们并回答问题，就有机会获得【惊喜赠饮】！ ⏰排班表列给大家咯，各位调好闹钟，抓紧机会吧~
780,20,296,1096,2020-03-11,#只要啵啵的芋泥啵啵奶茶#  嗯？难道大家还想再要一次啵啵？🤔
367,23,151,541,2020-03-11,今日的下午茶频道，米面包c位预定！添加大米磨成的米粉，降低热量平衡营养，搭配两种口味馅料，马上成为大家的轻食新宠！广东地区已上线，打开 #喜茶GO#  ，来只米面包吧🍞  微博视频   Romantic Soul
427,315,252,994,2020-03-11,盒马  的微博: 来了来了！盒马× @喜茶  联名款【爆浆芝士豆乳青团】、【阿华田波波青团】预售开启！把奶茶包进青团里，咬一口春天吧 关注 @盒马  +转发，随机揪10个小可爱，各送1套限量联名款杯垫~ #盒马上新#   #奶茶青团#    抽奖详情
304,17,106,427,2020-03-10,#茶茶与你#  上周末，我们把大家日日想念的喜茶送到了江门/广州/深圳的小区里，让大家实现“足不出户喝喜茶”。茶饮是在附近喜茶门店新鲜现制，杯杯安心。有人说「很惊喜」，有人说「感受到被关爱」，我们不常说，但是我们一直在做。喜茶陪伴大家一起，在这个不寻常的春天里，等花开。 #送喜上门# ...
179,11,126,316,2020-03-09,#喜茶百货公司#  🔔30%OFF！城市系列周边限时7折来了。本期热推「恰喜茶长沙限定」：复古风味手机壳、“臭豆腐”袜子、喜茶国风手机壳和帆布袋，款款新鲜！更有其他城市系列周边正在喜茶百货公司7折热卖！收周边的最好时机就是现在🙆🏻♀️  #喜茶设计#
308,16,149,473,2020-03-09,#喜茶食验室#  阿喜米铺盛大开张🍚全新推出减糖减油更健康的【米面包】。加入米粉制作的米面包更加松软，柔韧扎实，咀嚼间带出独特的大米清甜和麦香。现已上线喜茶广东地区门店，今日 #喜茶GO#  半价尝鲜！有紫米紫薯&芋泥咸蛋黄两种口味可选，咸甜兼具，一定有你爱的🙆🏻♀️
338,960,439,1737,2020-03-08,#喜茶GO#  今日忘记准备节日礼物？阿喜帮帮手💌 阿喜有礼卡3.8特别上线 #喜欢有她#  卡面，两款可选。灵感之茶送给最美的她，抓住3.8的尾巴，点击图片扫码即刻购买。 🎁关+转，揪3位送100元阿喜有礼卡~   抽奖详情
260,31,479,770,2020-03-08,#三八妇女节#  这个春天，我们看到了更多勇敢而有力量的她们。她们最美逆行，坚守一线，顶住了远远不止半边的天。除此之外，还有更多不同角色的了不起她们在创造，在改变。喜茶喜欢有她，世界喜欢有她。 #她力量#   ✍🏻️评论里写下：你喜欢/想成为怎样的她？ 选出3位送喜茶。...
520,129,465,1114,2020-03-07,#喜茶发现#  喜茶携手 @起承文化TRADITIONOW  ，从中国非遗手工艺四大名锦名绣中提取传统文化中最吉祥灵动的符号与祥纹灵感再创，巧手传心，喜愿连连。正逢3.8国际妇女节，愿最美逆行的她平安归来！ 写下你的最美喜愿，揪5位送赠饮券；  给“喜愿御守”填色并在评论里发布你的填色作品，揪3...
338,42,222,602,2020-03-07,#巧喜欢妳#  两款甜甜甜甜的巧克力波波正在半价中~ 周末正适合和姐妹一起分享这份甜蜜开心呀！你的巧克力波波姐妹在哪里🍫  微博视频   동거 (同居)
4043,9465,7778,21286,2020-03-07,听说你馋奶茶了？最近大家对我们的想念茶茶都收到了！茶茶决定要给大家一个豪横的 #喜茶奶茶日# ！！🎁关注 @喜茶  ，转发说出你最想喝的喜茶，抽【50个人平分50杯喜茶】，下周开奖   正式解封后，我们一起去喝喜茶吧~   抽奖详情
416,738,407,1561,2020-03-06,#巧喜欢妳#  就快迎来复工后的第一个节日，是她们让这个节日意义非凡。她们身着不同角色，在各处散发光芒和力量。无论何时，都喜欢有她。❤3.6-3.8，m豆波波和空气巧克力波波限时半价（ #喜茶GO#  和美团外卖均参与）送给她一杯甜蜜巧克力，告诉她巧喜欢妳！ 🍫转发，送5张优先券~
1090,161,346,1597,2020-03-05,#面包里的神仙馅料#  这还不盘出我家热麦的神仙包包？拉丝麻薯，绵密芋泥，流淌的阿华田酱，鲜香蟹肉和小龙虾，还有还原度99%的火锅包🍲 它们都在  #喜茶热麦#  ！讲真，你是不是看饿了
271,20,69,360,2020-03-05,#喜爱武汉#  这个2月，我们和武汉以另外一种方式连接在一起。由喜茶发起，邀请到一些灵感独立设计师，用设计语言展现武汉的美好，不同风格、不同画面，一样的是，我们都为武汉加油。 #中国风格 喜茶设计#   🔖以下作品分别来自： @檀仁TANRENCAT   @南岛的葵   @兔子狗工作室_rabbit_dog   @阿P阿PPP   @kelasco ...
375,373,268,1016,2020-03-04,#不要芋泥要波波#  今天是「要波波」的第一天，免费的芋圆波波大家都get了吗？明天还有一天，牢记攻略：喜茶GO点购芋泥波波鲜奶，备注暗号要波波，就可以送芋圆波波了！点几杯送几份，上不封顶，杯杯double💜 转发，揪5位送优先券，优先吃波波！   抽奖详情
392,79,178,649,2020-03-04,老广必吃！喜茶 #制冰实验室#  广州天环LAB限定：【红豆双皮奶CELATO】，将正宗广式双皮奶与中式硬冰相融，蜜渍红豆清甜粉糯，奶香浓郁。进店必吃款，还可以外送！图片右下角， #喜茶GO#  保冷送喜到家，3.9前下单还可减免配送费
315,16,79,410,2020-03-03,#茶茶与你#  城市的温度，我们一起守护。🍵近期，喜茶为上海部分医院送去茶饮；还与上海圈子合作，在港汇立起了无人值守保温柜，供来去匆匆的快递员和外卖员免费领取喜茶。🛵一位外卖小哥取了一份喜茶还高兴地拍了照：“送了上千杯喜茶，这还是我第一次喝。” 我们能做的不多，但温暖会积少成多，上...
794,1455,865,3114,2020-03-03,#不要芋泥要波波#  听说最近总是有人点茶时，不要芋泥，不要鲜奶，要啵啵？ 喜茶GO点单彩蛋来了！限时2天。⏰3/4-3/5，喜茶GO点单 #芋泥波波鲜奶#  ，备注暗号要波波，即可收到一份免费的【芋圆波波】加料，一杯芋泥波波鲜奶对应一份芋圆波波，多买多送。🟣转发抽10位送芋泥波波鲜奶，明晚就抽~...
260,439,273,972,2020-03-03,#喜茶百货公司#  本期周边，每位中山的茶友都应该拥有一件！这是喜茶与中山这座城市深厚情感的证物，茶龄越久，对这些关键字越熟悉。之前在喜茶巴士中山号快闪现场极速售罄，现百货公司补货上架，欲购从速。 关+转，抽送3个中山限定搪瓷杯。 #源于江门 广东品牌#    抽奖详情
313,596,279,1188,2020-03-01,🏍️在 #喜茶GO#  与大家的密切联系中，它是不可或缺的重要一环： @顺丰同城急送  ，送喜到家感谢有你。祝 #顺丰同城公司1周年生日快乐# ~ 🎁关+转，揪5位送出顺丰定制积木套装   抽奖详情
